Date,System,Operation (verbatim)
2011-01-01,CT,nan
2011-05-09,CT,nan
2012-03-14,CT,nan
2012-03-16,CT,nan
2012-05-01,CT,nan
2012-06-11,CT,nan
2012-12-08,CT,nan
2015-03-23,CT,nan
2015-04-13,CT,nan
2015-06-24,CT,nan
2015-12-11,CT,nan
2017-04-10,CT,nan
2017-04-13,CT,nan
2017-04-14,CT,nan
2017-06-21,CT,nan
2018-05-18,CT,nan
2020-04-01,CT,nan
2020-06-18,CT,nan
2021-04-13,CT,nan
2021-06-18,CT,nan
2022-04-11,CT,nan
2023-04-14,CT,nan
2024-11-20,CT,nan
2025-03-26,CT,nan
2025-03-27,CT,nan
2025-04-10,CT,nan
2011-01-01,ST,nan
2011-03-03,ST,nan
2011-03-15,ST,nan
2011-04-02,ST,nan
2011-04-05,ST,nan
2011-05-09,ST,nan
2011-11-30,ST,nan
2012-03-05,ST,nan
2012-03-08,ST,nan
2012-03-14,ST,nan
2012-04-13,ST,nan
2012-05-01,ST,nan
2012-05-10,ST,nan
2012-12-08,ST,nan
2013-03-11,ST,nan
2013-10-02,ST,nan
2013-10-09,ST,nan
2013-11-18,ST,nan
2014-03-20,ST,nan
2014-03-27,ST,nan
2014-04-11,ST,nan
2015-03-23,ST,nan
2015-04-14,ST,nan
2015-12-11,ST,nan
2016-02-22,ST,nan
2016-02-24,ST,nan
2016-03-02,ST,nan
2017-03-10,ST,nan
2017-03-14,ST,nan
2017-04-10,ST,nan
2017-04-13,ST,nan
2017-04-14,ST,nan
2017-11-21,ST,nan
2018-03-23,ST,nan
2018-03-26,ST,nan
2018-04-03,ST,nan
2018-04-18,ST,nan
2018-05-01,ST,nan
2019-11-08,ST,nan
2019-11-20,ST,nan
2019-11-23,ST,nan
2019-11-24,ST,nan
2019-11-25,ST,nan
2020-04-01,ST,nan
2020-04-09,ST,nan
2021-03-09,ST,nan
2021-03-11,ST,nan
2021-03-12,ST,nan
2021-04-07,ST,nan
2021-04-08,ST,nan
2021-04-09,ST,nan
2021-04-12,ST,nan
2021-04-13,ST,nan
2021-11-25,ST,nan
2021-11-30,ST,nan
2021-12-03,ST,nan
2022-04-11,ST,nan
2022-11-10,ST,nan
2022-11-11,ST,nan
2023-03-16,ST,nan
2023-03-20,ST,nan
2023-04-13,ST,nan
2023-04-14,ST,nan
2024-11-20,ST,nan
2024-11-21,ST,nan
2024-11-23,ST,nan
2024-11-24,ST,nan
2024-11-25,ST,nan
2025-03-25,ST,nan
2025-03-26,ST,nan
2025-03-27,ST,nan
2011-01-01,MT,nan
2011-03-03,MT,nan
2011-03-15,MT,nan
2011-04-02,MT,nan
2011-04-05,MT,nan
2011-11-30,MT,nan
2012-03-05,MT,nan
2012-03-08,MT,nan
2012-03-14,MT,nan
2012-03-16,MT,nan
2012-04-13,MT,nan
2012-05-10,MT,nan
2012-06-04,MT,nan
2012-12-08,MT,nan
2013-03-11,MT,nan
2013-10-02,MT,nan
2013-10-09,MT,nan
2013-11-18,MT,nan
2014-03-20,MT,nan
2014-03-27,MT,nan
2014-04-11,MT,nan
2015-03-23,MT,nan
2015-04-14,MT,nan
2015-12-11,MT,nan
2016-02-22,MT,nan
2016-02-24,MT,nan
2016-03-02,MT,nan
2017-03-10,MT,nan
2017-03-14,MT,nan
2017-04-10,MT,nan
2017-04-13,MT,nan
2017-11-21,MT,nan
2018-03-23,MT,nan
2018-03-26,MT,nan
2018-04-03,MT,nan
2018-04-18,MT,nan
2018-05-01,MT,nan
2019-11-08,MT,nan
2019-11-20,MT,nan
2019-11-23,MT,nan
2019-11-24,MT,nan
2019-11-25,MT,nan
2020-04-01,MT,nan
2020-04-09,MT,nan
2021-03-09,MT,nan
2021-03-11,MT,nan
2021-03-12,MT,nan
2021-04-07,MT,nan
2021-04-08,MT,nan
2021-04-12,MT,nan
2021-04-13,MT,nan
2021-11-25,MT,nan
2021-11-30,MT,nan
2021-12-03,MT,nan
2022-04-11,MT,nan
2022-11-10,MT,nan
2022-11-11,MT,nan
2023-03-16,MT,nan
2023-03-20,MT,nan
2023-04-13,MT,nan
2023-04-14,MT,nan
2024-11-20,MT,nan
2024-11-21,MT,nan
2024-11-23,MT,nan
2024-11-24,MT,nan
2024-11-25,MT,nan
2025-03-25,MT,nan
2025-03-26,MT,nan
2025-04-10,MT,nan
